Indication_ID,Indication_Name,Slug
1512,Production of cycloplegia,production-of-cycloplegia-3189
1513,Production of mydriasis,production-of-mydriasis-3190
1514,Productive cough,productive-cough-3191
1515,Progestogen component in menopausal hormonal replacement therapy,progestogen-component-in-menopausal-hormonal-replacement-therapy-3915
1516,Progressive loss of hearing,progressive-loss-of-hearing-3672
1517,Prolactinomas,prolactinomas-3193
1518,Prolonged vomiting,prolonged-vomiting-3194
1519,Promote the quality and quantity of milk,promote-the-quality-and-quantity-of-milk-4211
1520,Promotes muscle growth,promotes-muscle-growth-3958
1521,Proper development of the baby in pregnant and nursing mothers,proper-development-of-the-baby-in-pregnant-and-nursing-mothers-4072
1522,Prophylaxis and therapy of protein deficiency,prophylaxis-and-therapy-of-protein-deficiency-3644
1523,Prophylaxis for acid aspiration syndrome during induction of anaesthesia,prophylaxis-for-acid-aspiration-syndrome-during-induction-of-anaesthesia-3973
1524,Prophylaxis of acute renal graft rejection,prophylaxis-of-acute-renal-graft-rejection-3943
1525,Prophylaxis of cardiac graft rejection,prophylaxis-of-cardiac-graft-rejection-3942
1526,Prophylaxis of clotting in extracorporeal circulation in haemodialysis or haemofiltration,prophylaxis-of-clotting-in-extracorporeal-circulation-in-haemodialysis-or-haemofiltration-3195
1527,Prophylaxis of cytomegaloviral infections,prophylaxis-of-cytomegaloviral-infections-3852
1528,Prophylaxis of omphalitis,prophylaxis-of-omphalitis-4192
1529,Prophylaxis of organ rejection,prophylaxis-of-organ-rejection-4168
1530,Prophylaxis of osteoporosis in postmenopausal women,prophylaxis-of-osteoporosis-in-postmenopausal-women-3825
1531,Prophylaxis of surgical infections,prophylaxis-of-surgical-infections-3197
1532,Prophylaxis of uterine atony and excessive bleeding after caesarean section,prophylaxis-of-uterine-atony-and-excessive-bleeding-after-caesarean-section-3704
1533,Prophylaxis of venous thromboembolism during surgery,prophylaxis-of-venous-thromboembolism-during-surgery-3198
1534,Prostate carcinoma,prostate-carcinoma-3199
1535,Prostatic or bladder surgery,prostatic-or-bladder-surgery-3200
1536,Prostatitis,prostatitis-3201
1537,Protect sensitive skin,protect-sensitive-skin-3202
1538,Protecting against cancer,protecting-against-cancer-3203
1539,Protection from harmful UV rays,protection-from-harmful-uv-rays-3933
1540,Protects eyes from cataract and age-related macular degeneration (AMD),protects-eyes-from-cataract-and-age-related-macular-degeneration-amd-3784
1541,Protects from Parkinson's disease,protects-from-parkinsons-disease-3786
1542,Protein deficiency or Sarcopenia,protein-deficiency-or-sarcopenia-3876
1543,Protein supply for peritoneal nutrition,protein-supply-for-peritoneal-nutrition-3643
1544,Protozoal infections,protozoal-infections-3204
1545,Prurigo nodularis,prurigo-nodularis-3205
1546,Pruritic skin conditions,pruritic-skin-conditions-3206
1547,Pruritus,pruritus-3207
1548,Pruritus and eczema,pruritus-and-eczema-3208
1549,Pruritus ani,pruritus-ani-3680
1550,Pseudohypoparathyroidism (PHP),pseudohypoparathyroidism-php-3209
1551,Psittacosis,psittacosis-3210
1552,Psoriasis,psoriasis-3211
1553,Psoriatic arthritis,psoriatic-arthritis-3212
1554,Psoriatic plaques,psoriatic-plaques-3213
1555,Psychogenic amenorrhea,psychogenic-amenorrhea-3214
1556,Psychoneurosis,psychoneurosis-3215
1557,Psychoses in parkinsonâ€™s disease,psychoses-in-parkinsons-disease-3216
1558,Psychosis,psychosis-3217
1559,Psychotic disorders,psychotic-disorders-3218
1560,Pulmonary arterial hypertension,pulmonary-arterial-hypertension-3219
1561,Pulmonary embolism,pulmonary-embolism-3220
1562,Pulmonary eosinophilia,pulmonary-eosinophilia-3221
1563,Pulmonary oedema,pulmonary-oedema-3223
1564,Pulmonary thromboembolism,pulmonary-thromboembolism-3224
1565,Pyelonephritis,pyelonephritis-3226
1566,Pylorospasm,pylorospasm-3227
1567,Pyoderma,pyoderma-3228
1568,Pyoderma gangrenosum,pyoderma-gangrenosum-3229
1569,Pyodermas,pyodermas-3982
1570,Pyogenic & seborrhoeic dermatitis,pyogenic-seborrhoeic-dermatitis-3230
1571,Q fever,q-fever-3715
1572,Radiographic contrast medium for diagnostic procedures,radiographic-contrast-medium-for-diagnostic-procedures-3234
1573,Raised intracranial pressure,raised-intracranial-pressure-3235
1574,Rapid eye movement,rapid-eye-movement-3236
1575,Rash and pruritus in a variety of condition,rash-and-pruritus-in-a-variety-of-condition-3771
1576,Rashes,rashes-3237
1577,Rat bite fever,rat-bite-fever-3238
1578,Raynaud's disease,raynauds-disease-3239
1579,RBC formation and proper cell functioning,rbc-formation-and-proper-cell-functioning-3963
1580,Receiving a kidney transplant,receiving-a-kidney-transplant-4167
